id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
282	silk fibroin	-0.9588	-0.3242	2	107	609	38	2018.3158	48.9474	2.2404
283	silver nanoparticle	0.6295	0.2333	4	108	441	31	2018.9355	26.3548	0.9261
284	simplicity	0.6996	0.4647	4	96	307	25	2013.76	55.36	1.7441
285	simulation	0.6248	0.3802	4	179	1232	165	2014.4242	7.8242	0.3031
286	skin	-0.6724	0.2423	1	156	708	61	2018.1967	30.0328	1.6863
287	smart biomaterial	-0.7374	0.2341	1	142	600	48	2019.1458	43.0833	2.2435
288	smart material	-0.855	0.0718	1	108	340	30	2020.0667	34.6667	2.071
289	soft tissue	-0.4772	0.363	1	57	143	23	2015.0435	7.7826	0.3629
290	software	-0.2283	0.8783	1	110	476	64	2013.1719	4.7969	0.236
291	sol gel	0.199	-0.3629	5	62	244	24	2007.4167	35.3333	0.7842
292	solution	0.377	0.1452	4	309	4457	298	2014.9698	26.8691	0.8317
293	spectroscopy	0.9367	-0.3738	5	236	2447	166	2012.3253	96.4518	1.6183
294	stem cell	-0.8348	-0.2579	2	169	838	42	2017.8095	34.4048	1.6536
295	substrate	0.4397	-0.4531	3	292	4280	305	2014.2164	32.4852	1.1897
296	surface chemistry	0.0844	-0.5763	3	176	825	54	2012.8333	41.1852	2.0283
297	surface functionalization	-0.0212	-0.6442	3	118	321	21	2015.619	52.4286	3.2262
298	surface modification	-0.0772	-0.8839	3	200	1490	81	2015.5185	32.7654	2.3902
299	surface plasmon resonance	1.1446	0.2809	4	119	494	37	2014.2973	36.8108	0.8888
300	surface property	0.0917	-0.8363	3	149	603	40	2015.325	33.875	0.8744
301	sustainability	-0.8166	0.4691	1	117	364	24	2022.9167	10.125	0.619
302	swnt	0.4715	-0.7665	6	54	313	24	2009.3333	47.6667	1.2792
303	synthesis	-0.2257	-0.1291	2	287	3307	240	2018.7208	64.1208	2.3245
304	synthetic biology	-0.3868	0.6288	1	82	260	32	2019.5938	14.9062	0.4614
305	synthetic polymer	-0.592	-0.43	2	124	363	22	2018.9545	28.9091	1.4999
306	tem	0.8869	-0.1831	5	128	487	31	2015	33.4516	0.8441
307	therapeutic	-0.4887	0.4589	1	173	638	50	2019.7	33.36	1.1182
308	therapeutic application	-0.8791	0.3863	1	106	352	30	2021.6667	46.9	2.9382
309	thickness	0.9951	0.003	4	178	1415	115	2013.6348	32.8783	1.0162
310	thin film	0.2007	-0.8227	3	180	1128	89	2014.7753	23.2697	0.5424
311	tissue	-0.6478	0.1296	1	286	4880	390	2016.3154	34.0077	1.1706
312	tissue engineering	-0.773	-0.1555	2	307	6957	461	2018.4295	60.5857	1.9826
313	tissue engineering application	-0.9464	-0.4779	2	157	587	32	2016.625	78.1875	1.7493
314	tissue engineering scaffold	-0.7207	-0.568	2	180	900	45	2016.8889	88.9556	1.8923
315	tissue regeneration	-0.8523	-0.0228	2	200	1172	74	2019.4865	51.7027	2.1076
316	tissue scaffold	-0.7765	-0.1828	2	122	433	24	2017.5	24.375	1.346
317	toxicity	-0.6113	-0.0528	2	194	962	61	2019.7213	56.0492	1.3382
318	toxin	0.3063	0.9329	6	97	408	31	2015.7742	22.4839	0.6972
319	transducer	0.8507	0.2395	4	161	998	69	2010.9275	74.6667	1.187
320	transmission electron microscopy	0.9599	-0.4035	5	127	474	28	2013.5	40.6071	1.1355
321	tumor	-0.1259	0.5743	1	102	406	44	2015.7273	21.2273	1.4321
322	unique property	-0.7099	-0.0264	2	174	700	38	2020.0263	45.5	1.6265
323	utility	-0.2018	-0.1892	2	145	433	28	2017.25	68.75	3.2901
